title,view_count,percent_capital,title_length,contains_question_mark,contains_exclamation_mark,VADER,has_full_cap_word,full_cap_count
WC4: Top 10 Generals!,16405,0.19047619047619047,0.49539130492575956,False,True,0.505090644850044,True,0.49822920225628875
#t9p,1,0.0,0.49192725530622633,False,False,0.49936240019692024,False,0.49606796008287507
7TB.1 ON TOP,2,0.5833333333333334,0.49355732006141945,False,False,0.5036322679701095,True,0.5025518043569507
Freedom Planet Speedrun - Lilac - Pangu Lagoon Any% - 2m38s050ms,11,0.109375,0.5041545310516253,False,False,0.5128026048014726,False,0.49606796008287507
Oh no oh no oh no no no song | TikTok Challenge,3994380,0.0851063829787234,0.5006900055647866,False,False,0.4819127535516456,False,0.49606796008287507
Logs Everything You Need to Know,68163,0.15625,0.4976330054528693,False,False,0.49936240019692024,False,0.49606796008287507
Minecraft SCP Foundation! - SCP-079 OLD AI [S1E9],396423,0.30612244897959184,0.5010976066706488,False,True,0.49936240019692024,True,0.5068740250398879
Lilbubblegum - af1 (Slowed + Reverb),127067,0.08333333333333333,0.49844819761510845,False,False,0.49936240019692024,False,0.49606796008287507
"Samsung Galaxy S21 Ultra UAG Cases Plasma, Monarch,  Lucent, Civilian,  Pathfinder",11509,0.15853658536585366,0.5078224102452932,False,False,0.49936240019692024,True,0.5003905106032714
IDEA Basics: (LRE) Least Restrictive Environment,27359,0.22916666666666666,0.500893806266214,False,False,0.49936240019692024,True,0.5003905106032714
"Weekly News, Biden Tax, $NFLX ER, $INTC ER & Analysis, $CLF ER, $FEYE & $WY Options, Webull, & More!",5613,0.31,0.5114894475259228,False,True,0.49936240019692024,True,0.5133552282138165
Cleveland-Cliffs Inc. - CLF Stock Chart Technical Analysis for 02-25-2021,302,0.136986301369863,0.5059885512260205,False,False,0.49936240019692024,True,0.49822920225628875
Behaviorismo - LQU. 20.1 (Ueap),17,0.16129032258064516,0.4974292092092399,False,False,0.49936240019692024,True,0.49822920225628875
"TWS 200-RIBUAN, Mishow X8L. Merk Apaan Nih? Eh, Tapi Koq Bass-nya...",10734,0.27941176470588236,0.5049696678662914,True,False,0.49936240019692024,True,0.5025518043569507
The Division 2 | How To Prepare For Gear 2.0 | TU7 Preparation Guide,12223,0.16176470588235295,0.5049696678662914,False,False,0.49936240019692024,True,0.49822920225628875
ton vzh a,161,0.0,0.49294602786425673,False,False,0.49936240019692024,False,0.49606796008287507
LRE,13,1.0,0.49172350856913316,False,False,0.49936240019692024,True,0.49822920225628875
Philips PowerPro Aqua 3w1 FC6409 - test odkurzacza,101167,0.12,0.5013014067103733,False,False,0.49936240019692024,True,0.49822920225628875
MOQ - [Minimum Order Quantity] What Does It Mean? (And How To Negotiate It),2880,0.2,0.5063960911165906,True,False,0.49936240019692024,True,0.49822920225628875
Young Couple Look After Baby Simulator | Yearbook,905722,0.14285714285714285,0.5010976066706488,False,False,0.49936240019692024,False,0.49606796008287507
079 Harivamsam,5229,0.07142857142857142,0.49396485900771747,False,False,0.49936240019692024,False,0.49606796008287507
"T9P T3 CUSTOM WITH NEW UPDATE ,ERANGEL",53,0.7631578947368421,0.49885579706085176,False,False,0.49936240019692024,True,0.5111952184310039
BLESS PK4,808,0.7777777777777778,0.49294602786425673,False,False,0.508258219957512,True,0.5003905106032714
AMERICAN IRON VS E49 AUSSIE CHARGER - Historic Racing in 2021.,28390,0.4838709677419355,0.503746954091282,False,False,0.49936240019692024,True,0.5090347904945902
